name	latitude	longitude
Aghnadrung	53.84297	-7.08138
Aghnafarcan	54.06291	-6.74602
Aghnagap	54.32085	-6.92589
Aghnagarron	53.79939	-7.49884
Aghnagillagh	53.45699	-7.05736
Aghnaglear	52.51443	-6.86056
Aghnaglogh	54.02088	-7.14215
Aghnaglogh	53.95847	-7.34257
Aghnaglogh	54.22217	-6.88725
Aghnagollop	54.03528	-8.02322
Aghnagore	53.72851	-7.90341
Aghnagrange	53.96023	-8.30584
Aghnagross	52.94979	-7.97113
Aghnaguig	54.06728	-7.40475
Aghnaha	54.36259	-6.93140
Aghnahaha	54.38049	-8.15338
Aghnahaia Glebe	53.90947	-7.34319
Aghnahederny	53.85083	-7.28885
Aghnahily	53.02436	-7.21204
Aghnahily Bog	53.03364	-7.23748
Aghnahola	54.12299	-7.25888
Aghnahoo	54.37996	-8.18642
Aghnahoo	54.02648	-8.00475
Aghnahoo Glebe	54.53885	-7.85879
Aghnahunshin	53.82336	-7.91315
Aghnahunshin	54.25944	-7.09411
Aghnakeeragh	54.86548	-7.62090
Aghnamaddoo	53.78344	-7.77824
Aghnamallagh	54.23568	-7.06188
Aghnamard	54.14359	-7.21420
Aghnameadle	52.84656	-7.97806
Aghnameal	54.19160	-6.85096
Aghnamona	53.82795	-7.89568
Aghnamullen	54.09505	-6.95336
Aghnamullen	54.09506	-6.95954
Aghnananagh	53.30274	-7.59325
Aghnaneane	53.82470	-6.85812
Aghnasedagh	54.24896	-6.93730
Aghnashalvy	54.25661	-7.13705
Aghnashannagh	53.78453	-7.66350
Aghnashingan	53.64359	-7.82522
Aghnasillagh	53.64305	-7.71532
Aghnaskea	53.68343	-7.87225
Aghnaskea	54.18376	-7.12671
Aghnaskeagh	53.80456	-7.26700
Aghnaskeagh	54.05524	-6.36631
Aghnaskerry	53.99253	-7.35392
Aghnaskew	54.07587	-6.93766
Aghnaskew	54.11025	-7.25302
Aghnasullivan	53.38608	-7.83690
Aghnasurn	54.02312	-8.25374
Aghnavar	54.40276	-6.99884
Aghnavealoge	53.62421	-7.58808
Aghody	52.99134	-7.77983
Aghoney	52.93411	-7.19312
Aghoo	54.02720	-7.80318
Aghoo	54.26644	-9.40480
Aghoo	54.03844	-8.21645
Aghoo	54.15021	-8.30923
Aghoo East	54.02711	-7.79080
Aghoos	54.24660	-9.77079
Aghoo West	54.03354	-7.80391
Aghort	51.84438	-10.32452
Aghoutereery	53.84360	-7.29043
Aghowle Lower	52.76384	-6.61717
Aghowle Lower	52.99211	-6.16648
Aghowle Upper	52.75447	-6.60302
Aghowle Upper	52.98855	-6.18522
Aghpaudeen	53.26209	-6.70637
Aghraboy	53.11956	-7.68585
Aghrafinigan	54.01792	-8.22665
Aghragh	54.65152	-8.65999
Aghrane	53.54408	-8.33593
Aghsmear	52.90678	-7.79933
Aghtaboy	53.81597	-8.87370
Aghuldred	53.35309	-7.46228
Aghullaghy	53.99579	-7.52253
